,Characters,Answer
ㄏㄨㄥㄋㄧ,虹蜺/虹霓,False
ㄏㄨㄥㄌㄟ,紅淚,False
ㄏㄨㄥㄌㄡ,紅樓,False
ㄏㄨㄥㄌㄢ,宏覽,False
ㄏㄨㄥㄌㄧ,紅利/宏麗,False
ㄏㄨㄥㄌㄨ,洪爐/烘爐,False
ㄏㄨㄥㄍㄡ,鴻溝/宏構,False
ㄏㄨㄥㄍㄢ,烘乾,False
ㄏㄨㄥㄍㄤ,洪剛/宏綱,False
ㄏㄨㄥㄎㄠ,烘烤,False
ㄏㄨㄥㄏㄜ,紅河/紅鶴,False
ㄏㄨㄥㄏㄨ,鴻鵠,False
ㄏㄨㄥㄐㄧ,洪基/鴻基,False
ㄏㄨㄥㄑㄧ,紅旗/紅契,False
ㄏㄨㄥㄒㄧ,鴻禧,False
ㄏㄨㄥㄒㄩ,鴻緒,False
ㄏㄨㄥㄓㄚ,轟炸,False
ㄏㄨㄥㄓㄠ,鴻爪,False
ㄏㄨㄥㄔㄚ,紅茶,False
ㄏㄨㄥㄔㄠ,紅潮/烘炒,False
ㄏㄨㄥㄔㄣ,紅塵/轟沉,False
ㄏㄨㄥㄔㄤ,宏敞,False
ㄏㄨㄥㄔㄥ,泓澄,False
ㄏㄨㄥㄕㄚ,紅沙,False
ㄏㄨㄥㄕㄜ,黌舍,False
ㄏㄨㄥㄕㄠ,紅燒,False
ㄏㄨㄥㄕㄢ,紅杉,False
ㄏㄨㄥㄕㄣ,弘深,False
ㄏㄨㄥㄕㄥ,紅生/洪生,False
ㄏㄨㄥㄕㄨ,紅樹,False
ㄏㄨㄥㄖㄢ,轟然/哄然,False
ㄏㄨㄥㄖㄣ,紅人/哄人,False
ㄏㄨㄥㄖㄤ,紅壤,False
ㄏㄨㄥㄖㄨ,鴻儒,False
ㄏㄨㄥㄗㄞ,洪災,False
ㄏㄨㄥㄗㄠ,紅棗/紅藻,False
ㄏㄨㄥㄗㄡ,轟走,False
ㄏㄨㄥㄗㄨ,訌阻,False
ㄏㄨㄥㄘㄞ,虹彩/鴻裁,False
ㄏㄨㄥㄙㄜ,紅色,True
ㄏㄨㄥㄙㄨ,紅素,False
ㄏㄨㄥㄧㄗ,紅椅子,False
ㄏㄨㄥㄧㄚ,紅牙,False
ㄏㄨㄥㄧㄝ,紅葉/洪業,False
ㄏㄨㄥㄧㄠ,紅藥,False
ㄏㄨㄥㄧㄡ,紅油/鴻猷,False
ㄏㄨㄥㄧㄢ,紅顏/紅眼,False
ㄏㄨㄥㄧㄣ,洪音/轟飲,False
ㄏㄨㄥㄧㄤ,弘揚/紅樣,False
ㄏㄨㄥㄨㄟ,宏偉/洪惟,False
ㄏㄨㄥㄨㄣ,鴻文,False
ㄏㄨㄥㄩㄢ,宏願/弘遠,False
ㄏㄨㄥㄩㄣ,紅運/紅雲,False
ㄏㄨㄦㄘㄠ,虎耳草,False
ㄏㄨㄧㄢㄕ,虎眼石,False
ㄐㄧㄅㄧㄝ,級別,False
ㄐㄧㄅㄧㄢ,機變/即便,False
ㄐㄧㄅㄧㄣ,罽賓,False
ㄐㄧㄅㄧㄥ,疾病/機兵,False
ㄐㄧㄆㄧㄠ,機票/計票,True
ㄐㄧㄆㄧㄢ,咭片,False
ㄐㄧㄆㄧㄣ,極品/濟貧,False
ㄐㄧㄆㄧㄥ,譏評,False
ㄐㄧㄇㄧㄝ,擊滅/寂滅,False
ㄐㄧㄇㄧㄣ,飢民/機敏,False
ㄐㄧㄇㄧㄥ,雞鳴/記名,False
ㄐㄧㄉㄧㄠ,基調/祭弔,False
ㄐㄧㄉㄧㄢ,極點/祭典,False
ㄐㄧㄉㄧㄥ,既定/吉丁,False
ㄐㄧㄉㄨㄛ,幾多,True
ㄐㄧㄉㄨㄟ,擠對/擠兌,False
ㄐㄧㄉㄨㄢ,極端/機斷,True
ㄐㄧㄉㄨㄣ,幾頓/寄頓,False
ㄐㄧㄉㄨㄥ,激動/機動,True
ㄐㄧㄊㄧㄝ,吉帖,False
ㄐㄧㄊㄧㄠ,鯽跳,False
ㄐㄧㄊㄧㄢ,祭天/籍田,False
ㄐㄧㄊㄨㄛ,寄託/擊柝,False
ㄐㄧㄊㄨㄟ,擊退,False
ㄐㄧㄊㄨㄢ,集團/急湍,False
ㄐㄧㄊㄨㄣ,急吞,False
ㄐㄧㄊㄨㄥ,繼統/激筒,False
ㄐㄧㄋㄢㄕ,濟南市,False
ㄐㄧㄋㄧㄢ,紀念/記念,False
ㄐㄧㄋㄧㄥ,薺薴,False
ㄐㄧㄋㄨㄥ,唧噥,False
ㄐㄧㄌㄧㄝ,激烈,True
ㄐㄧㄌㄧㄠ,寂寥,False
ㄐㄧㄌㄧㄡ,羈留/激流,False
ㄐㄧㄌㄧㄢ,畸戀,False
ㄐㄧㄌㄧㄣ,吉林/棘林,False
ㄐㄧㄌㄧㄤ,劑量/技倆,False
ㄐㄧㄌㄧㄥ,機靈/即令,False
ㄐㄧㄌㄨㄛ,擊落,False
ㄐㄧㄌㄨㄢ,雞卵,False
ㄐㄧㄌㄨㄣ,激論/棘輪,False
ㄐㄧㄌㄨㄥ,雞籠,False
ㄐㄧㄌㄩㄝ,計略/紀略,False
ㄐㄧㄍㄨㄚ,記掛/機括,False
ㄐㄧㄍㄨㄛ,記過,False
ㄐㄧㄍㄨㄟ,繼軌,False
ㄐㄧㄍㄨㄢ,機關/雞冠,True
ㄐㄧㄍㄨㄤ,激光/極光,False
ㄐㄧㄍㄨㄥ,技工/機工,False
ㄐㄧㄎㄨㄞ,計會/疾快,False
ㄐㄧㄎㄨㄟ,擊潰,False
ㄐㄧㄎㄨㄢ,寄款,False
ㄐㄧㄎㄨㄣ,飢困,False
ㄐㄧㄎㄨㄥ,祭孔,False
ㄐㄧㄏㄨㄚ,計劃/激話,True
ㄐㄧㄏㄨㄛ,即或/飢火,False
ㄐㄧㄏㄨㄞ,寄懷/羈懷,False
ㄐㄧㄏㄨㄟ,機會/集會,True
ㄐㄧㄏㄨㄢ,疾患/羈宦,False
ㄐㄧㄏㄨㄤ,饑荒/急慌,False
ㄐㄧㄐㄧㄚ,幾家/計價,False
ㄐㄧㄐㄧㄝ,季節/集結,False
ㄐㄧㄐㄧㄠ,計較/急腳,True
ㄐㄧㄐㄧㄡ,急救/急就,False
ㄐㄧㄐㄧㄢ,雞姦/機件,False
ㄐㄧㄐㄧㄣ,基金/激進,False
ㄐㄧㄐㄧㄤ,即將/激將,False
ㄐㄧㄐㄧㄥ,寂靜/機警,False
ㄐㄧㄐㄩㄝ,肌覺/繼絕,False
ㄐㄧㄐㄩㄣ,季軍,False
ㄐㄧㄐㄩㄥ,基扃,False
ㄐㄧㄑㄧㄝ,急切/急且,False
ㄐㄧㄑㄧㄠ,技巧/機巧,False
ㄐㄧㄑㄧㄡ,冀求/擊毬,False
ㄐㄧㄑㄧㄢ,忌前/積欠,False
ㄐㄧㄑㄧㄣ,繼親,False
ㄐㄧㄑㄧㄤ,機槍,False
ㄐㄧㄑㄧㄥ,激情/寄情,True
ㄐㄧㄑㄩㄝ,急缺,False
ㄐㄧㄑㄩㄢ,極權/極圈,True
ㄐㄧㄑㄩㄣ,機群,False
ㄐㄧㄑㄩㄥ,技窮/計窮,False
ㄐㄧㄒㄧㄚ,寄下/稷下,False
ㄐㄧㄒㄧㄝ,機械/計偕,True
ㄐㄧㄒㄧㄠ,譏笑/績效,False
ㄐㄧㄒㄧㄢ,極限/機先,False
ㄐㄧㄒㄧㄣ,機心/記心,False
ㄐㄧㄒㄧㄤ,跡象/吉祥,False
ㄐㄧㄒㄧㄥ,記性/急性,False
ㄐㄧㄒㄩㄝ,績學/積雪,False
ㄐㄧㄒㄩㄢ,極選,False
ㄐㄧㄒㄩㄣ,集訓,False
ㄐㄧㄒㄩㄥ,雞胸/吉凶,False
ㄐㄧㄓㄨㄛ,祭桌/祭酌,False
ㄐㄧㄓㄨㄟ,脊椎,False
ㄐㄧㄓㄨㄣ,基準,False
ㄐㄧㄓㄨㄤ,急裝,False
ㄐㄧㄓㄨㄥ,集中/幾眾,False
ㄐㄧㄔㄨㄣ,季春,False
ㄐㄧㄔㄨㄤ,機床/雞窗,False
ㄐㄧㄕㄅㄣ,記事本,False
ㄐㄧㄕㄊㄥ,雞屎藤,False
ㄐㄧㄕㄥㄨ,寄生物,False
ㄐㄧㄕㄨㄟ,積水/濟水,False
ㄐㄧㄖㄣㄓ,級任制,False
ㄐㄧㄖㄦㄙ,計日而俟,False
ㄐㄧㄖㄨㄛ,積弱,False
ㄐㄧㄖㄨㄥ,即戎,False
ㄐㄧㄗㄠㄦ,即早兒,False
ㄐㄧㄗㄨㄛ,積作/基座,False
ㄐㄧㄗㄨㄟ,既醉/忌嘴,False
ㄐㄧㄗㄨㄥ,騎從,False
ㄐㄧㄘㄨㄛ,擠撮,False
ㄐㄧㄘㄨㄣ,積存/集村,False
ㄐㄧㄙㄆㄛ,既死魄,False
ㄐㄧㄙㄞㄦ,吉賽爾,False
ㄐㄧㄙㄨㄛ,脊索,False
ㄐㄧㄙㄨㄟ,幾歲/期歲,False
ㄐㄧㄙㄨㄢ,計算/肌酸,False
ㄐㄧㄙㄨㄥ,記誦/偈頌,False
ㄐㄧㄚㄅㄛ,家缽,False
ㄐㄧㄚㄅㄞ,俠拜,False
ㄐㄧㄚㄅㄟ,加倍/夾被,False
ㄐㄧㄚㄅㄢ,加班/假扮,False
ㄐㄧㄚㄅㄣ,佳本/甲苯,False
ㄐㄧㄚㄅㄤ,家邦/甲榜,False
ㄐㄧㄚㄅㄥ,駕崩,False
ㄐㄧㄚㄅㄧ,價比/夾壁,False
ㄐㄧㄚㄆㄞ,加派,False
ㄐㄧㄚㄆㄠ,夾袍,False
ㄐㄧㄚㄆㄨ,家譜/家僕,False
ㄐㄧㄚㄇㄚ,加碼/價碼,False
ㄐㄧㄚㄇㄛ,夾磨/嘉謨,False
ㄐㄧㄚㄇㄟ,假寐,False
ㄐㄧㄚㄇㄠ,假冒,False
ㄐㄧㄚㄇㄣ,家門/甲門,False
ㄐㄧㄚㄇㄥ,加盟,False
ㄐㄧㄚㄇㄨ,家母/價目,False
ㄐㄧㄚㄈㄚ,家法/假髮,False
ㄐㄧㄚㄈㄟ,鉀肥,False
ㄐㄧㄚㄈㄣ,甲酚,False
ㄐㄧㄚㄈㄤ,家訪,False
ㄐㄧㄚㄈㄥ,夾縫/家風,False
ㄐㄧㄚㄈㄨ,家父/假父,False
ㄐㄧㄚㄉㄜ,家的,False
ㄐㄧㄚㄉㄞ,夾帶/假貸,False
ㄐㄧㄚㄉㄠ,家道/假道,False
ㄐㄧㄚㄉㄢ,價單/夾單,False
ㄐㄧㄚㄉㄤ,家當,False
ㄐㄧㄚㄉㄥ,甲等,False
ㄐㄧㄚㄉㄧ,家弟/甲第,False
ㄐㄧㄚㄉㄨ,家督,False
ㄐㄧㄚㄊㄚ,假榻,False
ㄐㄧㄚㄊㄡ,甲頭/駕頭,False
ㄐㄧㄚㄊㄤ,家堂,False
ㄐㄧㄚㄊㄧ,梜提,False
ㄐㄧㄚㄊㄨ,家兔,False
ㄐㄧㄚㄋㄠ,夾腦,False
ㄐㄧㄚㄋㄤ,頰囊,False
ㄐㄧㄚㄋㄨ,家奴,False
ㄐㄧㄚㄋㄩ,假女,False
ㄐㄧㄚㄌㄜ,假樂,False
ㄐㄧㄚㄌㄞ,家來,False
ㄐㄧㄚㄌㄟ,家累/家累,False
ㄐㄧㄚㄌㄠ,家老,False
ㄐㄧㄚㄌㄢ,迦藍,False
ㄐㄧㄚㄌㄧ,佳麗/家例,False
ㄐㄧㄚㄌㄨ,夾路/賈魯,False
ㄐㄧㄚㄍㄜ,價格/家鴿,True
ㄐㄧㄚㄍㄡ,架構,False
ㄐㄧㄚㄍㄢ,夾肝,False
ㄐㄧㄚㄍㄣ,假根,False
ㄐㄧㄚㄍㄨ,胛骨/嘉穀,False
ㄐㄧㄚㄎㄜ,家客/嘉客,False
ㄐㄧㄚㄎㄡ,家口,False
ㄐㄧㄚㄏㄜ,嘉禾,False
ㄐㄧㄚㄏㄞ,加害,False
ㄐㄧㄚㄏㄠ,加號/枷號,False
ㄐㄧㄚㄏㄡ,賈后,False
ㄐㄧㄚㄏㄢ,家寒,False
ㄐㄧㄚㄏㄨ,加護,False
ㄐㄧㄚㄐㄧ,夾擊/佳績,False
ㄐㄧㄚㄐㄩ,家居/家具,False
ㄐㄧㄚㄑㄧ,假期/佳氣,True
ㄐㄧㄚㄑㄩ,家去/佳趣,False
ㄐㄧㄚㄒㄧ,加息/家系,False
ㄐㄧㄚㄒㄩ,嘉許/佳婿,False
ㄐㄧㄚㄓㄠ,駕照,False
ㄐㄧㄚㄓㄡ,加州/甲冑,False
ㄐㄧㄚㄓㄣ,家珍,False
ㄐㄧㄚㄓㄤ,家長/甲長,False
ㄐㄧㄚㄓㄥ,家政,False
ㄐㄧㄚㄓㄨ,加注/家主,False
ㄐㄧㄚㄔㄜ,駕車,False
ㄐㄧㄚㄔㄠ,假鈔,False
ㄐㄧㄚㄔㄡ,家醜,False
ㄐㄧㄚㄔㄢ,家產/家蠶,False
ㄐㄧㄚㄔㄣ,家臣/浹辰,False
ㄐㄧㄚㄔㄤ,家常/甲裳,True
ㄐㄧㄚㄔㄥ,加成/假稱,False
ㄐㄧㄚㄔㄨ,家畜/夏楚,False
ㄐㄧㄚㄕㄚ,夾殺/袈裟,False
ㄐㄧㄚㄕㄜ,假設/架設,False
ㄐㄧㄚㄕㄠ,枷梢,False
ㄐㄧㄚㄕㄡ,假手,False
ㄐㄧㄚㄕㄢ,家山/假山,False
ㄐㄧㄚㄕㄣ,加深,False
ㄐㄧㄚㄕㄤ,家商/嘉尚,False
ㄐㄧㄚㄕㄥ,家聲/家生,False
ㄐㄧㄚㄕㄨ,家書/家屬,False
ㄐㄧㄚㄖㄜ,加熱,True
ㄐㄧㄚㄖㄠ,假饒,False
ㄐㄧㄚㄖㄢ,戛然,False
ㄐㄧㄚㄖㄣ,家人/嫁人,True
ㄐㄧㄚㄖㄨ,加入/假如,True
ㄐㄧㄚㄗㄚ,夾雜,True
ㄐㄧㄚㄗㄟ,家賊,False
ㄐㄧㄚㄗㄠ,假造/鉀皂,False
ㄐㄧㄚㄗㄡ,架走,False
ㄐㄧㄚㄗㄨ,家族/家祖,False
ㄐㄧㄚㄘㄞ,家財,False
ㄐㄧㄚㄘㄥ,夾層,False
ㄐㄧㄚㄙㄜ,稼穡,False
ㄐㄧㄚㄙㄠ,家嫂,False
ㄐㄧㄚㄙㄦ,假廝兒,False
ㄐㄧㄚㄙㄨ,加速,True
ㄐㄧㄚㄧㄕ,嘉義市,False
ㄐㄧㄚㄧㄚ,家鴨/加壓,False
ㄐㄧㄚㄧㄝ,家業/家頁,False
ㄐㄧㄚㄧㄠ,佳餚/嘉殽,False
ㄐㄧㄚㄧㄡ,加油/嘉祐,False
ㄐㄧㄚㄧㄢ,家嚴/家宴,False
ㄐㄧㄚㄧㄣ,佳音,False
ㄐㄧㄚㄧㄥ,家蠅,False
ㄐㄧㄚㄨㄕ,家務事,False
ㄐㄧㄚㄨㄟ,價位/葭葦,False
ㄐㄧㄚㄨㄢ,甲烷,False
ㄐㄧㄚㄨㄣ,家問/家蚊,False
ㄐㄧㄚㄩㄝ,家樂,False
ㄐㄧㄚㄩㄢ,家園/家緣,False
ㄐㄧㄚㄩㄣ,戛雲,False
ㄐㄧㄚㄩㄥ,家用,False
ㄐㄧㄜㄊㄡ,擠訛頭,False
ㄐㄧㄝㄅㄚ,結巴,False
ㄐㄧㄝㄅㄛ,接駁,False
ㄐㄧㄝㄅㄞ,結拜/潔白,False
ㄐㄧㄝㄅㄟ,戒備/界碑,False
ㄐㄧㄝㄅㄠ,捷報,False
ㄐㄧㄝㄅㄢ,結伴/接班,False
ㄐㄧㄝㄅㄣ,節本,False
ㄐㄧㄝㄅㄤ,接棒/揭榜,False
ㄐㄧㄝㄅㄧ,結筆/櫛比,False
ㄐㄧㄝㄅㄨ,揭布,False
ㄐㄧㄝㄆㄛ,揭破,False
ㄐㄧㄝㄆㄞ,節拍/界牌,True
ㄐㄧㄝㄆㄟ,解佩,False
ㄐㄧㄝㄆㄡ,解剖,False
ㄐㄧㄝㄆㄧ,潔癖/解批,False
ㄐㄧㄝㄇㄚ,解碼,False
ㄐㄧㄝㄇㄛ,結末/結磨,False
ㄐㄧㄝㄇㄞ,結脈,False
ㄐㄧㄝㄇㄟ,姐妹,False
ㄐㄧㄝㄇㄠ,睫毛/結茅,False
ㄐㄧㄝㄇㄢ,屆滿,False
ㄐㄧㄝㄇㄣ,解悶/街門,False
ㄐㄧㄝㄇㄥ,結盟/解夢,False
ㄐㄧㄝㄇㄧ,解謎/揭祕,False
ㄐㄧㄝㄇㄨ,節目/揭幕,True
ㄐㄧㄝㄈㄚ,揭發/解發,False
ㄐㄧㄝㄈㄟ,劫匪,True
ㄐㄧㄝㄈㄣ,界分/解紛,False
ㄐㄧㄝㄈㄤ,街坊/解放,False
ㄐㄧㄝㄈㄥ,結風/接風,False
ㄐㄧㄝㄈㄨ,姐夫/解縛,False
ㄐㄧㄝㄉㄚ,解答,False
ㄐㄧㄝㄉㄞ,接待/借代,False
ㄐㄧㄝㄉㄠ,街道/解道,True
ㄐㄧㄝㄉㄡ,楬豆,False
ㄐㄧㄝㄉㄢ,借單/節蛋,False
ㄐㄧㄝㄉㄤ,解當/結黨,False
ㄐㄧㄝㄉㄥ,街燈,False
ㄐㄧㄝㄉㄧ,芥蒂/接地,False
ㄐㄧㄝㄉㄨ,解讀/解毒,False
ㄐㄧㄝㄊㄜ,介特,False
ㄐㄧㄝㄊㄠ,解套,False
ㄐㄧㄝㄊㄡ,街頭/接頭,True
ㄐㄧㄝㄊㄢ,接談/戒壇,False
ㄐㄧㄝㄊㄧ,階梯/解體,False
ㄐㄧㄝㄊㄨ,戒塗,False
ㄐㄧㄝㄋㄚ,接納/結納,False
ㄐㄧㄝㄋㄢ,劫難/解難,False
ㄐㄧㄝㄋㄤ,解囊,False
ㄐㄧㄝㄋㄥ,節能,False
ㄐㄧㄝㄋㄧ,桀溺,False
ㄐㄧㄝㄋㄩ,節女,False
ㄐㄧㄝㄌㄚ,戒臘,False
ㄐㄧㄝㄌㄜ,結了,False
ㄐㄧㄝㄌㄞ,疥癩,False
ㄐㄧㄝㄌㄟ,街壘,False
ㄐㄧㄝㄌㄠ,劫牢,False
ㄐㄧㄝㄌㄢ,解纜/結攬,False
ㄐㄧㄝㄌㄤ,潔郎,False
ㄐㄧㄝㄌㄧ,竭力/接力,True
ㄐㄧㄝㄌㄨ,節錄/揭露,False
ㄐㄧㄝㄌㄩ,戒律/節律,False
ㄐㄧㄝㄍㄞ,節概,False
ㄐㄧㄝㄍㄠ,訐告/截稿,False
ㄐㄧㄝㄍㄡ,結構/解構,True
ㄐㄧㄝㄍㄢ,揭竿,False
ㄐㄧㄝㄍㄣ,結根,False
ㄐㄧㄝㄍㄥ,桔梗,False
ㄐㄧㄝㄍㄨ,借故/解僱,False
ㄐㄧㄝㄎㄜ,接客/解渴,False
ㄐㄧㄝㄎㄞ,解開/揭開,False
ㄐㄧㄝㄎㄡ,藉口/街口,True
ㄐㄧㄝㄎㄤ,拮抗,False
ㄐㄧㄝㄎㄨ,解庫,False
ㄐㄧㄝㄏㄜ,結合/解和,False
ㄐㄧㄝㄏㄠ,結好,False
ㄐㄧㄝㄏㄡ,節候/結喉,False
ㄐㄧㄝㄏㄣ,解恨,False
ㄐㄧㄝㄏㄨ,嗟乎/戒護,False
ㄐㄧㄝㄐㄧ,階級/接濟,False
ㄐㄧㄝㄐㄩ,結局/結聚,False
ㄐㄧㄝㄑㄧ,節氣/解氣,False
ㄐㄧㄝㄑㄩ,街衢/截取,False
ㄐㄧㄝㄒㄧ,解析/解攜,False
ㄐㄧㄝㄒㄩ,接續/嗟吁,False
ㄐㄧㄝㄓㄜ,接著/揭折,True
ㄐㄧㄝㄓㄞ,借債/揭債,False
ㄐㄧㄝㄓㄠ,接招,False
ㄐㄧㄝㄓㄡ,介冑/桀紂,False
ㄐㄧㄝㄓㄢ,接戰,False
ㄐㄧㄝㄓㄤ,結帳/接掌,False
ㄐㄧㄝㄓㄥ,結正,False
ㄐㄧㄝㄓㄨ,借助/借住,False
ㄐㄧㄝㄔㄞ,解差/解拆,False
ㄐㄧㄝㄔㄠ,解嘲,False
ㄐㄧㄝㄔㄡ,解愁/結仇,False
ㄐㄧㄝㄔㄢ,解饞,False
ㄐㄧㄝㄔㄤ,結腸,False
ㄐㄧㄝㄔㄥ,解呈/解酲,False
ㄐㄧㄝㄔㄨ,接觸/解除,True
ㄐㄧㄝㄕㄚ,接殺/結煞,False
ㄐㄧㄝㄕㄜ,結社/結舌,False
ㄐㄧㄝㄕㄠ,介紹,False
ㄐㄧㄝㄕㄡ,接受/接收,True
ㄐㄧㄝㄕㄢ,接衫/介山,False
ㄐㄧㄝㄕㄣ,接神/潔身,False
ㄐㄧㄝㄕㄤ,街上/界上,False
ㄐㄧㄝㄕㄥ,節省/接生,False
ㄐㄧㄝㄕㄨ,結束/解數,True
ㄐㄧㄝㄖㄢ,介然/皆然,False
ㄐㄧㄝㄖㄣ,接任/解人,False
ㄐㄧㄝㄖㄤ,接壤,False
ㄐㄧㄝㄖㄨ,介入,True
ㄐㄧㄝㄗㄚ,結紮,False
ㄐㄧㄝㄗㄜ,詰責/介幘,False
ㄐㄧㄝㄗㄠ,接灶,False
ㄐㄧㄝㄗㄡ,節奏,True
ㄐㄧㄝㄗㄨ,解組/街卒,False
ㄐㄧㄝㄘㄞ,芥菜/結彩,False
ㄐㄧㄝㄘㄠ,結草/節操,False
ㄐㄧㄝㄘㄥ,階層,False
ㄐㄧㄝㄘㄨ,接簇,False
ㄐㄧㄝㄙㄢ,解散/接三,True
ㄐㄧㄝㄙㄨ,借宿/解素,False
ㄐㄧㄝㄧㄚ,嗟呀/結押,False
ㄐㄧㄝㄧㄝ,結業,False
ㄐㄧㄝㄧㄠ,節要/解藥,False
ㄐㄧㄝㄧㄡ,結友/解憂,False
ㄐㄧㄝㄧㄢ,戒嚴/解嚴,False
ㄐㄧㄝㄧㄣ,結印/接引,False
ㄐㄧㄝㄧㄤ,訐揚,False
ㄐㄧㄝㄧㄥ,接應/結營,False
ㄐㄧㄝㄨㄞ,界外,False
ㄐㄧㄝㄨㄟ,結尾/解圍,True
ㄐㄧㄝㄨㄣ,接吻/節文,False
ㄐㄧㄝㄨㄤ,解網,False
ㄐㄧㄝㄩㄝ,節約/解約,False
ㄐㄧㄝㄩㄢ,結緣/結怨,False
ㄐㄧㄝㄩㄣ,解運/解慍,False
ㄐㄧㄝㄩㄥ,節用/借用,False
ㄐㄧㄠㄅㄛ,嬌波/澆薄,False
ㄐㄧㄠㄅㄞ,茭白/交拜,False
ㄐㄧㄠㄅㄟ,交杯/腳背,False
ㄐㄧㄠㄅㄠ,交保,False
ㄐㄧㄠㄅㄢ,腳板/攪拌,False
ㄐㄧㄠㄅㄣ,教本/校本,False
ㄐㄧㄠㄅㄤ,交棒,False
ㄐㄧㄠㄅㄧ,交臂,False
ㄐㄧㄠㄅㄨ,腳步/膠布,True
ㄐㄧㄠㄆㄛ,腳婆/交迫,False
ㄐㄧㄠㄆㄞ,教派/交派,False
ㄐㄧㄠㄆㄟ,交配,False
ㄐㄧㄠㄆㄢ,交盤/絞盤,False
ㄐㄧㄠㄆㄣ,腳盆,False
ㄐㄧㄠㄆㄧ,膠皮,False
ㄐㄧㄠㄇㄚ,叫罵/蕉麻,False
ㄐㄧㄠㄇㄛ,角膜,False
ㄐㄧㄠㄇㄞ,叫賣,False
ㄐㄧㄠㄇㄟ,嬌美/姣美,False
ㄐㄧㄠㄇㄢ,驕慢,False
ㄐㄧㄠㄇㄣ,叫門/教門,False
ㄐㄧㄠㄇㄨ,膠木,False
ㄐㄧㄠㄈㄚ,教法/交發,False
ㄐㄧㄠㄈㄟ,繳費/窖肥,False
ㄐㄧㄠㄈㄣ,交分/狡憤,False
ㄐㄧㄠㄈㄤ,教坊/椒房,False
ㄐㄧㄠㄈㄥ,交鋒,False
ㄐㄧㄠㄈㄨ,教父/交付,False
ㄐㄧㄠㄉㄞ,交代/交代,True
ㄐㄧㄠㄉㄠ,教導/交道,False
ㄐㄧㄠㄉㄡ,鐎斗,False
ㄐㄧㄠㄉㄢ,矯誕,False
ㄐㄧㄠㄉㄥ,腳燈,False
ㄐㄧㄠㄉㄧ,腳底/角觝,False
ㄐㄧㄠㄉㄨ,角度/教讀,True
ㄐㄧㄠㄊㄚ,腳踏,True
ㄐㄧㄠㄊㄞ,交態/交泰,False
ㄐㄧㄠㄊㄠ,噭咷,False
ㄐㄧㄠㄊㄡ,叫頭/教頭,False
ㄐㄧㄠㄊㄢ,交談/焦炭,False
ㄐㄧㄠㄊㄤ,教堂/焦糖,True
ㄐㄧㄠㄊㄧ,交替,False
ㄐㄧㄠㄊㄨ,教徒/焦土,True
ㄐㄧㄠㄋㄚ,繳納,False
ㄐㄧㄠㄋㄠ,角腦/攪惱,False
ㄐㄧㄠㄋㄣ,嬌嫩,False
ㄐㄧㄠㄋㄤ,膠囊,False
ㄐㄧㄠㄋㄧ,膠泥,False
ㄐㄧㄠㄋㄩ,嬌女,False
ㄐㄧㄠㄌㄞ,狡賴,False
ㄐㄧㄠㄌㄟ,焦雷,False
ㄐㄧㄠㄌㄠ,焦勞,False
ㄐㄧㄠㄌㄡ,角樓,False
ㄐㄧㄠㄌㄢ,燋爛/椒蘭,False
ㄐㄧㄠㄌㄥ,焦棱,False
ㄐㄧㄠㄌㄧ,校理/腳力,False
ㄐㄧㄠㄌㄨ,腳路/腳爐,False
ㄐㄧㄠㄌㄩ,焦慮/叫驢,False
ㄐㄧㄠㄍㄜ,交割/膠葛,False
ㄐㄧㄠㄍㄞ,校改,False
ㄐㄧㄠㄍㄟ,交給,False
ㄐㄧㄠㄍㄠ,校稿,False
ㄐㄧㄠㄍㄡ,交媾,False
ㄐㄧㄠㄍㄢ,交感,False
ㄐㄧㄠㄍㄣ,腳跟,False
ㄐㄧㄠㄍㄤ,角鋼,False
ㄐㄧㄠㄍㄨ,膠固/嚼穀,False
ㄐㄧㄠㄎㄜ,叫渴/嬌客,False
ㄐㄧㄠㄎㄡ,交口/角口,False
ㄐㄧㄠㄎㄢ,校勘,False
ㄐㄧㄠㄎㄤ,矯亢,False
ㄐㄧㄠㄎㄨ,叫苦/焦枯,False
ㄐㄧㄠㄏㄜ,交合,False
ㄐㄧㄠㄏㄟ,焦黑,False
ㄐㄧㄠㄏㄠ,叫好/交好,False
ㄐㄧㄠㄏㄡ,叫吼/交厚,False
ㄐㄧㄠㄏㄢ,叫喊/嬌寒,False
ㄐㄧㄠㄏㄤ,腳行,False
ㄐㄧㄠㄏㄥ,交橫/驕橫,False
ㄐㄧㄠㄏㄨ,腳戶/焦穫,False
ㄐㄧㄠㄐㄧ,焦急/交際,True
ㄐㄧㄠㄐㄩ,叫局/教具,False
ㄐㄧㄠㄑㄧ,嬌氣/驕氣,False
ㄐㄧㄠㄑㄩ,郊區/叫屈,False
ㄐㄧㄠㄒㄧ,教習/教席,False
ㄐㄧㄠㄒㄩ,膠續/膠序,False
ㄐㄧㄠㄓㄚ,狡詐,False
ㄐㄧㄠㄓㄜ,交謫,False
ㄐㄧㄠㄓㄠ,矯詔,False
ㄐㄧㄠㄓㄢ,交戰/驕戰,False
ㄐㄧㄠㄓㄣ,叫陣,False
ㄐㄧㄠㄓㄤ,交帳,False
ㄐㄧㄠㄓㄥ,校正/矯正,False
ㄐㄧㄠㄓㄨ,教主/較著,False
ㄐㄧㄠㄔㄚ,交叉/腳叉,False
