,Characters,Answer,Score
ㄆㄢㄊㄨㄛ,盤陀,FALSE,664356
ㄉㄨㄢㄊㄨ,短途/斷屠,FALSE,664322
ㄉㄞㄉㄧㄢ,代電/帶電,FALSE,664315
ㄆㄢㄏㄨㄛ,盤貨/盤獲,FALSE,664307
ㄏㄨㄣㄩㄝ,婚約,FALSE,664307
ㄌㄤㄑㄧㄩ,狼鰭魚,FALSE,664306
ㄒㄧㄣㄧㄣ,心音/心印,FALSE,664303.5
ㄏㄨㄛㄉㄠ,火刀,FALSE,664286
ㄈㄢㄌㄧㄙ,凡立司,FALSE,664285
ㄊㄡㄍㄨㄚ,投瓜,FALSE,664276
ㄉㄨㄟㄇㄣ,對門,FALSE,664251
ㄓㄨㄢㄔㄜ,轉車/專車,FALSE,664243
ㄉㄨㄟㄕㄡ,對手,FALSE,664237
ㄑㄧㄠㄌㄡ,樵樓/譙樓,FALSE,664214
ㄆㄛㄇㄧㄢ,破面,FALSE,664197
ㄍㄥㄍㄨㄟ,庚癸,FALSE,664182.5
ㄉㄨㄛㄌㄚ,踱拉,FALSE,664172
ㄘㄞㄌㄧㄢ,彩練,FALSE,664167
ㄏㄡㄉㄧㄝ,後爹,FALSE,664159
ㄇㄛㄆㄧㄢ,默片/抹片,FALSE,664151
ㄍㄨㄞㄏㄣ,怪恨,FALSE,664125
ㄕㄚㄍㄨㄛ,沙鍋/砂鍋,FALSE,664119
ㄧㄡㄊㄧㄥ,遊艇/悠停,FALSE,664099
ㄩㄣㄔㄨㄤ,芸窗,FALSE,664097
ㄧㄠㄅㄧㄥ,藥餅/耀兵,FALSE,664086
ㄍㄡㄏㄨㄚ,勾畫,FALSE,664076
ㄒㄧㄍㄞㄗ,蓆蓋子,FALSE,664071
ㄑㄧㄥㄑㄩ,情趣/清臞,FALSE,664006.5
ㄊㄢㄙㄨㄛ,探索,TRUE,664000
ㄨㄟㄩㄢㄓ,委員制,FALSE,663998
ㄈㄨㄨㄧㄝ,服務業,FALSE,663984
ㄉㄨㄢㄏㄨ,斷乎,FALSE,663979
ㄧㄥㄒㄩㄥ,英雄,TRUE,663978
ㄑㄧㄠㄌㄩ,憔慮,FALSE,663967
ㄒㄧㄝㄇㄛ,邪魔,FALSE,663954
ㄗㄡㄎㄨㄥ,走空,FALSE,663952
ㄒㄧㄠㄔㄜ,小車,FALSE,663917
ㄌㄨㄥㄓㄥ,隆正,FALSE,663895.5
ㄓㄨㄥㄉㄨ,中毒/重讀,TRUE,663883
ㄎㄨㄤㄖㄢ,曠然,FALSE,663878
ㄒㄩㄥㄒㄧ,熊戲,FALSE,663866
ㄔㄜㄓㄨㄢ,徹饌,FALSE,663859
ㄆㄠㄔㄨㄢ,跑船,FALSE,663798
ㄅㄞㄆㄧㄥ,擺平,FALSE,663761
ㄅㄧㄠㄊㄤ,鼻凹糖,FALSE,663761
ㄧㄧㄢㄊㄤ,一言堂,FALSE,663734
ㄊㄨㄢㄕㄢ,團扇,FALSE,663731
ㄆㄧㄢㄏㄞ,篇海,FALSE,663710
ㄧㄤㄅㄧㄥ,養病/養兵,FALSE,663710
ㄉㄤㄒㄧㄤ,党項,FALSE,663707
ㄎㄨㄥㄏㄞ,空海,FALSE,663702
ㄆㄛㄒㄧㄤ,破相,FALSE,663701
ㄙㄊㄧㄕㄨ,四體書,FALSE,663699
ㄗㄨㄟㄈㄢ,罪犯,FALSE,663670
ㄙㄢㄒㄧㄢ,三鮮/三獻,FALSE,663664
ㄏㄨㄗㄨㄥ,護從/扈從,FALSE,663638
ㄐㄧㄐㄧㄣ,基金/激進,FALSE,663633
ㄒㄧㄤㄔㄜ,香車,FALSE,663627
ㄊㄧㄢㄙㄞ,田賽,FALSE,663580
ㄆㄛㄒㄧㄠ,破曉/醱酵,FALSE,663575
ㄒㄧㄝㄏㄞ,血海,FALSE,663566
ㄉㄚㄒㄩㄥ,大兄/大雄,FALSE,663565
ㄖㄨㄥㄇㄟ,溶媒,FALSE,663554
ㄍㄨㄟㄍㄥ,歸耕/貴庚,FALSE,663527.5
ㄕㄡㄍㄨㄛ,瘦果/壽國,FALSE,663519
ㄊㄞㄎㄨㄥ,太空,FALSE,663490
ㄐㄧㄡㄙㄠ,舅嫂,FALSE,663474
ㄒㄧㄇㄛㄓ,吸墨紙,FALSE,663467
ㄗㄞㄓㄨㄥ,栽種/載重,FALSE,663463
ㄙㄢㄨㄣㄕ,散文詩,FALSE,663459
ㄙㄜㄒㄧㄣ,色心,FALSE,663445
ㄉㄧㄢㄖㄢ,點燃/點染,FALSE,663425
ㄅㄧㄠㄏㄤ,標行,FALSE,663418
ㄙㄢㄏㄨㄛ,散伙/散夥,FALSE,663394
ㄅㄟㄙㄨㄥ,背誦/北宋,FALSE,663376
ㄏㄨㄢㄉㄨ,還都/歡度,FALSE,663371
ㄘㄨㄢㄍㄞ,竄改/篡改,FALSE,663339
ㄖㄜㄌㄨㄢ,熱亂,FALSE,663315
ㄒㄩㄝㄕㄨ,學術/學塾,FALSE,663306
ㄈㄚㄙㄨㄥ,發送/發鬆,FALSE,663288
ㄔㄤㄙㄨㄢ,長算/嘗酸,FALSE,663282
ㄏㄤㄅㄧㄠ,航標,FALSE,663270
ㄎㄨㄢㄖㄤ,寬讓,FALSE,663254
ㄊㄠㄉㄨㄛ,逃躲,FALSE,663232
ㄉㄤㄏㄨㄛ,黨禍,FALSE,663220
ㄉㄧㄌㄧㄝ,低劣,FALSE,663220
ㄉㄨㄥㄨㄥ,東翁,FALSE,663215.5
ㄩㄢㄊㄧㄢ,原田/園田,FALSE,663208
ㄩㄕㄢㄅㄥ,玉山崩,FALSE,663202
ㄉㄨㄥㄅㄨ,東部,FALSE,663201
ㄈㄟㄖㄨㄥ,飛榮,FALSE,663175
ㄌㄧㄠㄉㄞ,料袋,FALSE,663170
ㄑㄧㄤㄧㄚ,矼牙,FALSE,663149
ㄅㄧㄢㄏㄢ,便函,FALSE,663140
ㄅㄧㄥㄆㄞ,並排/冰排,FALSE,663140
ㄎㄨㄢㄖㄠ,寬饒,FALSE,663128
ㄌㄧㄤㄓㄡ,梁州/梁輈,FALSE,663120
ㄉㄨㄛㄌㄩ,多慮,FALSE,663118
ㄊㄧㄥㄘㄞ,亭彩,FALSE,663118
ㄏㄠㄉㄨㄛ,好多/豪奪,FALSE,663097
ㄎㄞㄊㄨㄥ,開通/開通,FALSE,663091
ㄇㄧㄥㄉㄧ,鳴笛/名第,FALSE,663082
ㄓㄥㄔㄨㄞ,掙揣,FALSE,663079
ㄋㄧㄠㄙㄢ,鳥散,FALSE,663067
ㄏㄟㄌㄨㄣ,黑輪,FALSE,663066
ㄐㄧㄝㄗㄠ,接灶,FALSE,663064
ㄐㄧㄣㄩㄣ,今韻/襟韻,FALSE,663061.5
ㄗㄨㄣㄍㄡ,圳溝,FALSE,663052
ㄎㄞㄏㄨㄥ,開鬨,FALSE,663042
ㄕㄥㄌㄧㄥ,生靈/省令,FALSE,663037
ㄐㄩㄣㄕㄢ,君山,FALSE,663028
ㄕㄨㄟㄉㄡ,水痘,FALSE,663028
ㄆㄞㄅㄧㄥ,派兵,FALSE,663026
ㄈㄟㄉㄨㄣ,肥遁/肥遯,FALSE,663010
ㄈㄨㄓㄨㄢ,符篆,FALSE,663007
ㄌㄢㄒㄩㄣ,蘭訊,FALSE,663006
ㄊㄧㄝㄅㄣ,貼本,FALSE,662999
ㄎㄨㄌㄨㄥ,窟窿,FALSE,662989
ㄋㄢㄐㄧㄢ,南箋,FALSE,662971
ㄩㄧㄡㄖㄣ,于右任,FALSE,662966
ㄉㄡㄒㄩㄥ,兜胸,FALSE,662965
ㄖㄨㄥㄏㄜ,融合/溶合,FALSE,662950
ㄑㄧㄡㄌㄠ,囚牢,FALSE,662936
ㄘㄨㄥㄇㄤ,匆忙,TRUE,662933
ㄆㄧㄥㄅㄞ,平白,FALSE,662932
ㄉㄢㄓㄨㄦ,丹珠爾,FALSE,662918
ㄉㄥㄌㄨㄥ,登龍/登壟,FALSE,662891
ㄉㄢㄏㄨㄢ,氮環,FALSE,662887
ㄕㄨㄤㄏㄠ,霜毫,FALSE,662857
ㄙㄨㄥㄔㄚ,送茶,FALSE,662837
ㄗㄠㄐㄧㄝ,遭劫,FALSE,662834
ㄆㄛㄓㄨㄢ,破賺,FALSE,662752
ㄉㄨㄣㄏㄜ,頓河,FALSE,662701
ㄒㄩㄢㄉㄤ,懸宕,FALSE,662665
ㄔㄨㄛㄖㄢ,惙然,FALSE,662613
ㄌㄧㄢㄘㄞ,憐才/斂財,FALSE,662610
ㄍㄨㄚㄖㄣ,寡人/瓜仁,FALSE,662599
ㄉㄚㄌㄨㄛ,大落/大鑼,FALSE,662596
ㄇㄛㄒㄧㄝ,默寫/模寫,FALSE,662555
ㄒㄩㄢㄉㄠ,宣導,FALSE,662539
ㄍㄠㄒㄩㄢ,高懸/高軒,FALSE,662531
ㄕㄠㄏㄨㄤ,燒荒,FALSE,662506
ㄐㄩㄢㄕㄣ,捐身,FALSE,662498
ㄈㄣㄉㄨㄟ,分隊,FALSE,662492
ㄧㄥㄉㄧㄝ,影碟/硬碟,FALSE,662483
ㄉㄠㄅㄨㄕ,倒不是,FALSE,662436
ㄊㄧㄌㄧㄤ,體諒/提梁,TRUE,662433
ㄋㄧㄢㄓㄜ,粘著,FALSE,662426
ㄉㄨㄛㄨㄣ,多文/多聞,FALSE,662364
ㄏㄜㄖㄨㄥ,和戎/貉絨,FALSE,662334
ㄍㄨㄛㄊㄤ,過堂/果糖,FALSE,662283
ㄅㄠㄌㄧㄡ,保留,FALSE,662280
ㄌㄟㄍㄨㄤ,淚光,FALSE,662280
ㄏㄨㄣㄍㄞ,渾蓋,FALSE,662263
ㄔㄚㄑㄧㄣ,查勤,FALSE,662246
ㄌㄧㄣㄗㄡ,臨走,FALSE,662213
ㄊㄧㄊㄧㄢ,梯田,FALSE,662208
ㄍㄣㄓㄕㄨ,根指數,FALSE,662198
ㄒㄧㄣㄙㄜ,新色,FALSE,662181
ㄌㄥㄉㄨㄥ,冷凍,FALSE,662151
ㄌㄧㄡㄓㄠ,六詔,FALSE,662132
ㄕㄨㄎㄨㄢ,贖款,FALSE,662126
ㄉㄜㄍㄨㄤ,德廣,FALSE,662123
ㄆㄧㄢㄈㄟ,偏廢,FALSE,662049
ㄎㄨㄥㄈㄟ,空費,FALSE,662041
ㄇㄛㄍㄨㄣ,魔棍,FALSE,662005
ㄉㄡㄌㄨㄛ,兜羅,FALSE,661996
ㄗㄨㄟㄔㄢ,嘴饞,FALSE,661991
ㄍㄨㄟㄕㄚ,歸煞,FALSE,661964
ㄍㄨㄛㄍㄢ,果敢/果乾,FALSE,661956.5
ㄍㄞㄌㄧㄤ,改良,FALSE,661951
ㄕㄚㄑㄧㄡ,沙丘/砂丘,FALSE,661948
ㄧㄚㄒㄧㄣ,鴨信,FALSE,661943
ㄕㄢㄎㄨㄞ,苫塊,FALSE,661914
ㄐㄩㄥㄐㄧ,窘急,FALSE,661899
ㄆㄧㄝㄈㄥ,撇風,FALSE,661886
ㄐㄧㄚㄗㄟ,家賊,FALSE,661867
ㄈㄣㄑㄧㄡ,糞球,FALSE,661853
ㄒㄩㄥㄉㄚ,雄大,FALSE,661825
ㄍㄨㄛㄏㄠ,國號,FALSE,661814
ㄘㄨㄥㄅㄛ,叢薄,FALSE,661807
ㄌㄨㄣㄔㄤ,倫常/輪唱,FALSE,661804
ㄍㄨㄥㄓㄨ,公主/公諸,FALSE,661766
ㄅㄢㄅㄧㄠ,班彪,FALSE,661757
ㄆㄚㄔㄨㄥ,爬蟲,FALSE,661752
ㄌㄚㄌㄨㄥ,拉攏/拉弄,FALSE,661707
ㄒㄩㄥㄓㄣ,雄鎮/胸針,FALSE,661670
ㄌㄨㄥㄌㄡ,龍樓,FALSE,661659
ㄉㄚㄕㄨㄟ,打水/大水,FALSE,661656
ㄇㄧㄥㄧㄥ,命硬,FALSE,661622.5
ㄍㄠㄅㄧㄝ,告別,FALSE,661614
ㄇㄤㄘㄨㄥ,盲從,FALSE,661612
ㄍㄨㄤㄉㄜ,廣德,FALSE,661577
ㄑㄧㄡㄈㄣ,秋分/丘墳,FALSE,661551
ㄧㄠㄑㄧㄢ,要錢/藥籤,FALSE,661549
ㄍㄨㄟㄔㄣ,歸忱,FALSE,661491
ㄑㄧㄡㄧㄤ,秋陽,FALSE,661480
ㄘㄤㄋㄧㄥ,傖儜,FALSE,661479
ㄒㄧㄝㄖㄡ,血肉,FALSE,661471
ㄇㄟㄖㄨㄥ,美容,FALSE,661451
ㄇㄛㄎㄨㄥ,膜孔,FALSE,661422
ㄅㄨㄑㄩㄣ,不群,FALSE,661406
ㄔㄨㄣㄌㄠ,醇醪,FALSE,661406
ㄌㄨㄛㄅㄣ,裸奔,FALSE,661399
ㄊㄧㄠㄖㄣ,調人,FALSE,661368
ㄗㄨㄟㄨㄥ,醉翁,FALSE,661355
ㄧㄡㄒㄧㄣ,有心/憂心,TRUE,661343
ㄒㄩㄣㄏㄢ,醺酣,FALSE,661333
ㄌㄧㄣㄇㄛ,臨摹,FALSE,661312
ㄍㄨㄢㄘㄜ,觀測,FALSE,661307
ㄇㄟㄉㄨㄣ,美噸,FALSE,661286
ㄇㄨㄓㄨㄢ,木磚,FALSE,661283
ㄘㄠㄔㄨㄥ,草蟲,FALSE,661283
ㄌㄧㄣㄊㄞ,麟臺,FALSE,661267
ㄒㄧㄣㄌㄧ,心理/心裡,TRUE,661203
ㄖㄨㄥㄖㄣ,容忍/榮任,FALSE,661192
ㄗㄨㄥㄋㄩ,從女/宗女,FALSE,661181
ㄧㄤㄑㄧㄢ,洋錢,FALSE,661173
ㄍㄨㄟㄇㄣ,鬼門/跪門,FALSE,661171
ㄍㄨㄟㄕㄡ,歸首/龜綬,FALSE,661157
ㄊㄞㄨㄕㄢ,太武山,FALSE,661076
ㄏㄠㄕㄨㄤ,豪爽,FALSE,661076
ㄌㄧㄌㄨㄦ,禮路兒,FALSE,661067
ㄈㄟㄒㄧㄝ,匪懈,FALSE,661044
ㄋㄚㄗㄨㄥ,拿總,FALSE,661028
ㄔㄠㄌㄨㄣ,超倫,FALSE,661025
ㄒㄩㄣㄓㄥ,薰蒸/熏烝,FALSE,661022
ㄙㄜㄑㄧㄥ,色情,FALSE,661005
ㄐㄧㄝㄕㄜ,結社/結舌,FALSE,660997
ㄉㄥㄉㄨㄟ,登對,FALSE,660956
ㄋㄩㄗㄨㄥ,女宗,FALSE,660946
ㄧㄅㄢㄈㄚ,一般法,FALSE,660925
ㄍㄨㄢㄏㄨ,關乎/觀護,TRUE,660899
ㄕㄜㄐㄧㄝ,射界/賒借,FALSE,660890
ㄐㄧㄥㄆㄧ,精闢/靜僻,FALSE,660887
ㄌㄧㄤㄩㄝ,兩粵/兩越,FALSE,660830
ㄇㄣㄉㄨㄟ,門對,FALSE,660768
ㄉㄨㄟㄏㄠ,對號,FALSE,660751
ㄈㄚㄅㄧㄣ,髮鬢,FALSE,660745
ㄓㄨㄥㄓㄤ,腫脹/重杖,FALSE,660702
ㄐㄧㄣㄕㄣ,謹慎/金身,FALSE,660696.5
ㄅㄧㄣㄈㄚ,鬢髮,FALSE,660675
ㄉㄧㄢㄉㄞ,鈿帶,FALSE,660650
ㄔㄤㄌㄨㄣ,唱論/常倫,FALSE,660649
ㄆㄧㄒㄧㄚ,皮匣,FALSE,660648
ㄑㄧㄣㄔㄡ,衾裯,FALSE,660640
ㄇㄛㄌㄧㄣ,抹鄰,FALSE,660628
ㄏㄨㄟㄘㄢ,會餐,FALSE,660623
ㄉㄜㄌㄧㄠ,得了,FALSE,660620
ㄌㄧㄡㄅㄤ,劉邦,FALSE,660613
ㄓㄨㄥㄗㄜ,重責,FALSE,660603
ㄌㄧㄕㄓㄤ,理事長,FALSE,660598
ㄩㄣㄓㄨㄟ,隕墜,FALSE,660588
ㄏㄠㄍㄨㄛ,好過,TRUE,660581
ㄓㄨㄥㄓㄠ,終朝,FALSE,660576
ㄓㄠㄑㄧㄤ,照牆,FALSE,660569
ㄍㄠㄊㄨㄛ,搞妥/告託,FALSE,660565
ㄍㄠㄏㄨㄛ,搞活/膏火,FALSE,660516
ㄋㄨㄥㄇㄛ,濃抹/濃墨,FALSE,660515
ㄇㄞㄒㄧㄡ,買休/麥秀,FALSE,660506
ㄆㄞㄑㄧㄢ,派遣/排遣,FALSE,660489
ㄑㄧㄥㄙㄜ,情色/青澀,FALSE,660487
ㄆㄟㄒㄧㄤ,配享/配饗,FALSE,660466
ㄗㄨㄥㄓㄜ,從者,FALSE,660458
ㄊㄨㄛㄍㄤ,脫肛,FALSE,660453
ㄘㄞㄒㄧㄣ,菜心/採信,FALSE,660414
ㄊㄨㄟㄉㄤ,推宕,FALSE,660404
ㄇㄠㄦㄧㄢ,貓兒眼,FALSE,660374
ㄘㄢㄑㄧㄝ,慘切,FALSE,660353
ㄒㄧㄤㄉㄤ,相當/向當,FALSE,660349
ㄆㄨㄉㄥㄜ,撲燈蛾,FALSE,660346
ㄒㄧㄤㄆㄟ,相配/相陪,FALSE,660345
ㄆㄟㄒㄧㄠ,陪笑/賠笑,FALSE,660340
ㄊㄤㄍㄨㄛ,糖果/湯鍋,FALSE,660340
ㄎㄨㄟㄇㄥ,匱盟/潰盟,FALSE,660340
ㄊㄜㄒㄧㄝ,特寫,FALSE,660338
ㄊㄨㄛㄍㄠ,脫稿,FALSE,660327
ㄑㄧㄣㄇㄡ,侵牟,FALSE,660320
ㄆㄧㄥㄓㄜ,憑著/憑摺,FALSE,660313
ㄏㄨㄤㄏㄢ,惶汗/荒旱,FALSE,660311
ㄆㄢㄊㄨㄟ,盤腿,FALSE,660308
ㄇㄠㄇㄧㄥ,冒名/貿名,FALSE,660292
ㄧㄥㄌㄧㄡ,癭瘤,FALSE,660281
ㄊㄨㄟㄉㄠ,推倒/推導,FALSE,660278
ㄆㄧㄠㄐㄩ,票據/飄舉,FALSE,660275
ㄉㄧㄑㄩㄝ,的確/底缺,FALSE,660275
ㄏㄨㄟㄉㄤ,會黨/回檔,FALSE,660269
ㄉㄨㄧㄨㄦ,獨一無二,TRUE,660268
ㄐㄧㄝㄌㄞ,疥癩,FALSE,660246
ㄎㄚㄆㄧㄢ,卡片,FALSE,660236
ㄙㄠㄆㄧㄥ,掃平,FALSE,660217
ㄓㄣㄌㄨㄛ,振落,FALSE,660216
ㄏㄜㄒㄧㄝ,和諧/河蟹,TRUE,660203
ㄉㄨㄊㄨㄣ,獨吞,FALSE,660189
ㄅㄞㄨㄧㄦ,百無一二,FALSE,660179
ㄓㄨㄤㄓㄥ,裝幀,FALSE,660148
ㄏㄨㄟㄉㄠ,誨盜,FALSE,660143
ㄧㄢㄐㄩㄢ,厭倦/掩卷,FALSE,660123
ㄍㄨㄥㄅㄨ,公布/工部,TRUE,660121
ㄊㄨㄥㄎㄜ,同科,FALSE,660114
ㄎㄨㄣㄉㄡ,困鬥,FALSE,660101
ㄍㄨㄛㄌㄩ,過濾/過慮,TRUE,660038
ㄙㄨㄥㄗㄤ,送葬,FALSE,660037
ㄒㄩㄥㄅㄣ,熊本,FALSE,660025
ㄧㄕㄊㄧㄥ,議事廳,FALSE,660018
ㄊㄢㄍㄨㄢ,貪官/彈冠,FALSE,660007
ㄎㄡㄉㄨㄣ,口鈍,FALSE,660006
ㄧㄠㄒㄩㄝ,藥學,FALSE,659977
ㄈㄣㄍㄨㄟ,分規,FALSE,659976
ㄧㄢㄊㄧㄠ,眼跳/延眺,FALSE,659965
ㄋㄧㄡㄆㄥ,牛棚,FALSE,659930
ㄗㄨㄕㄥㄔ,阻生齒,FALSE,659915
ㄈㄟㄎㄨㄥ,飛鞚,FALSE,659911
ㄙㄨㄥㄗㄠ,送灶,FALSE,659911
ㄊㄧㄝㄍㄡ,鐵鉤,FALSE,659898
ㄍㄡㄒㄩㄥ,狗熊,FALSE,659885
ㄧㄣㄒㄧㄡ,隱秀,FALSE,659874
ㄏㄢㄍㄨㄢ,寒官/涵管,FALSE,659872
ㄋㄧㄣㄌㄠ,您老,FALSE,659871
ㄆㄧㄒㄧㄡ,貔貅,FALSE,659841
ㄍㄢㄓㄨㄦ,甘珠爾,FALSE,659838
ㄐㄧㄝㄖㄤ,接壤,FALSE,659806
ㄉㄧㄢㄎㄢ,點勘,FALSE,659805
ㄔㄥㄗㄨㄛ,乘坐,FALSE,659801
ㄖㄨㄊㄨㄥ,如同,TRUE,659790
ㄓㄨㄥㄍㄨ,中古/忠告,TRUE,659789
ㄗㄨㄛㄨㄢ,昨晚,TRUE,659784
ㄊㄨㄉㄨㄣ,土遁,FALSE,659776
ㄧㄢㄉㄡㄙ,菸斗絲,FALSE,659774
ㄌㄩㄕㄨㄤ,履霜,FALSE,659753
ㄅㄧㄥㄅㄛ,冰檗/冰櫱,FALSE,659639
ㄑㄩㄥㄏㄢ,窮漢,FALSE,659639
ㄌㄥㄍㄨㄥ,冷宮,FALSE,659635
ㄖㄡㄌㄧㄣ,蹂躪,FALSE,659625
ㄑㄧㄑㄧㄢ,綺錢,FALSE,659621
ㄅㄨㄔㄨㄢ,不傳,FALSE,659616
ㄋㄣㄌㄧㄤ,嫩涼,FALSE,659608
ㄍㄨㄕㄥㄨ,古生物,FALSE,659606
ㄉㄠㄊㄨㄟ,倒退,FALSE,659597
ㄓㄨㄢㄩㄢ,專員,FALSE,659581
ㄑㄧㄢㄓㄢ,前站,FALSE,659566
ㄑㄧㄡㄇㄣ,球門,FALSE,659552
ㄉㄠㄏㄨㄟ,倒會/搗毀,FALSE,659548
ㄑㄧㄥㄌㄧ,清理/情理,TRUE,659509
ㄧㄚㄑㄧㄥ,壓青/鴉青,FALSE,659503
ㄩㄝㄍㄨㄤ,月光,FALSE,659481
ㄕㄡㄍㄨㄟ,收歸,FALSE,659471
ㄈㄢㄗㄨㄛ,翻作/反坐,FALSE,659459
ㄎㄨㄚㄗㄢ,誇讚,FALSE,659438
ㄎㄨㄥㄏㄜ,恐嚇/控鶴,FALSE,659438
ㄙㄢㄊㄨㄟ,三推,FALSE,659395
ㄙㄢㄏㄨㄟ,散會,FALSE,659346
ㄌㄚㄍㄨㄛ,蠟果,FALSE,659340
ㄨㄢㄋㄨㄥ,玩弄/玩弄,FALSE,659337
ㄊㄧㄢㄙㄜ,天色/填塞,FALSE,659316
ㄒㄧㄝㄏㄜ,協和/諧和,FALSE,659302
ㄍㄨㄛㄨㄣ,國文/過問,FALSE,659284
ㄏㄨㄢㄍㄨ,環顧,FALSE,659277
ㄇㄧㄣㄉㄞ,民代,FALSE,659276
ㄓㄣㄕㄨㄟ,湞水/溱水,FALSE,659276
ㄌㄧㄣㄈㄟ,磷肥,FALSE,659263
ㄨㄢㄐㄩㄢ,萬卷,FALSE,659219
ㄊㄚㄑㄧㄠ,踏蹺,FALSE,659198
ㄌㄨㄨㄕㄧ,路無拾遺,FALSE,659195
ㄕㄥㄐㄩㄣ,生菌,FALSE,659192
ㄉㄤㄏㄨㄟ,黨徽,FALSE,659172
ㄆㄥㄔㄨㄤ,蓬窗/篷窗,FALSE,659162
ㄈㄟㄌㄧㄣ,菲林,FALSE,659117
ㄧㄢㄊㄞㄕ,煙臺市,FALSE,659116
ㄧㄠㄐㄧㄣ,要緊/要近,TRUE,659092
ㄒㄧㄣㄘㄞ,心材/心裁,FALSE,659091
ㄌㄧㄢㄌㄟ,連累/連類,FALSE,659086
ㄌㄧㄥㄑㄧ,靈氣/令器,FALSE,659058
ㄋㄧㄐㄧㄚ,你家,FALSE,659042
ㄒㄧㄣㄏㄣ,心狠/新恨,FALSE,659001.5
ㄉㄧㄥㄆㄥ,頂棚,FALSE,658963.5
ㄨㄢㄨㄕㄧ,萬無失一,FALSE,658962
ㄗㄟㄔㄨㄢ,賊船,FALSE,658951
ㄕㄨㄟㄍㄡ,水溝,FALSE,658934
ㄖㄤㄐㄧㄝ,禳解,FALSE,658925
ㄑㄧㄝㄓㄣ,切診,FALSE,658923
ㄌㄧㄠㄉㄜ,了得,FALSE,658906
ㄧㄡㄑㄧㄥ,友情/有請,TRUE,658903
ㄘㄜㄊㄧㄥ,側聽,FALSE,658885
ㄅㄚㄧㄢㄕ,八言詩,FALSE,658869
ㄕㄨㄣㄔㄚ,順差,FALSE,658851
ㄈㄥㄏㄨㄗ,風胡子,FALSE,658830
ㄊㄧㄥㄈㄥ,停俸,FALSE,658819.5
ㄌㄡㄍㄨㄛ,螻蟈,FALSE,658740
ㄋㄟㄐㄧㄠ,內教/內角,FALSE,658734
ㄊㄡㄑㄧㄤ,投槍,FALSE,658724
ㄑㄩㄢㄨㄢ,蜷蜿,FALSE,658721
ㄧㄤㄐㄧㄣ,洋金,FALSE,658716
ㄖㄨㄥㄋㄚ,容納,FALSE,658702
ㄗㄞㄒㄧㄤ,宰相/災祥,FALSE,658698
ㄉㄞㄍㄨㄚ,呆瓜,FALSE,658676
ㄕㄤㄌㄧㄝ,上列,FALSE,658660
ㄎㄚㄒㄧㄝ,咳血,FALSE,658640
ㄊㄢㄌㄧㄢ,貪戀,FALSE,658630
ㄈㄨㄩㄢㄗ,浮圓子,FALSE,658629
ㄌㄧㄤㄉㄜ,涼德,FALSE,658616
ㄗㄤㄙㄨㄥ,葬送,FALSE,658601
ㄊㄡㄑㄧㄠ,偷巧,FALSE,658598
ㄇㄥㄋㄧㄝ,萌櫱,FALSE,658588
ㄌㄨㄢㄊㄢ,亂彈,FALSE,658559
ㄧㄢㄗㄌㄡ,燕子樓,FALSE,658541
ㄑㄧㄣㄗㄠ,侵早/芹藻,FALSE,658521
ㄏㄢㄌㄧㄢ,含臉/頷聯,FALSE,658495
ㄅㄢㄍㄨㄦ,伴姑兒,FALSE,658490
ㄊㄨㄥㄊㄚ,同榻,FALSE,658469
ㄔㄡㄅㄧㄣ,酬賓,FALSE,658469
ㄔㄨㄧㄨㄞ,出意外,FALSE,658469
ㄑㄩㄢㄏㄥ,權衡/銓衡,FALSE,658461
ㄒㄩㄢㄍㄠ,宣告,FALSE,658445
ㄏㄨㄤㄌㄠ,黃老,FALSE,658443
ㄈㄨㄒㄩㄝ,府學/復學,FALSE,658440
ㄈㄢㄉㄧㄢ,飯店/反坫,FALSE,658439
ㄏㄠㄑㄧㄡ,好球/好逑,FALSE,658410
ㄧㄡㄊㄧㄢ,油田/幽天,FALSE,658385
ㄧㄠㄅㄧㄢ,窯變,FALSE,658372
ㄗㄍㄨㄥㄕ,自貢市,FALSE,658355
ㄊㄧㄢㄌㄧ,天理/田里,FALSE,658338
ㄇㄞㄐㄧㄠ,賣交/麥角,FALSE,658308
ㄌㄢㄊㄧㄢ,藍天/藍田,TRUE,658303
ㄔㄣㄍㄨㄟ,陳規,FALSE,658300
ㄌㄨㄛㄍㄡ,落彀,FALSE,658298
ㄉㄚㄍㄨㄞ,打乖,FALSE,658277
ㄏㄜㄌㄧㄣ,和林/鶴林,FALSE,658276
ㄧㄢㄌㄧㄡ,淹留/顏柳,FALSE,658263
ㄍㄨㄚㄓㄡ,掛軸/瓜洲,FALSE,658257
ㄇㄣㄍㄨㄟ,門規,FALSE,658252
ㄗㄡㄉㄧㄠ,走調,FALSE,658243
ㄋㄧㄐㄧㄡ,擬就/泥酒,FALSE,658235
ㄌㄨㄥㄆㄞ,龍牌,FALSE,658216
ㄇㄟㄎㄨㄥ,沒空,FALSE,658187
ㄒㄧㄡㄇㄞ,朽邁,FALSE,658170
ㄖㄣㄌㄧㄡ,人柳,FALSE,658156
ㄍㄨㄟㄊㄤ,桂堂,FALSE,658140
ㄩㄝㄌㄧㄤ,月亮,TRUE,658104
ㄍㄨㄞㄓㄣ,拐枕,FALSE,658100
ㄑㄩㄝㄨㄣ,闕文,FALSE,658078
